AGM NDVI/SMN Stations,Easting UTM,Northing UTM
26W NDVI/SMN,521085.75,4517623.41
26E NDVI/SMN,522066.89,4517616.09
25NW NDVI/SMN,523513.95,4517694.07
25SE NDVI/SMN,523716,4517347.87
31W NDVI/SMN,524174.14,4515865.47
31E NDVI/SMN,525328.32,4515174.24
7NW NDVI/SMN,524316.34,4521659.72
8E NDVI/SMN,526497.07,4521464.67
24W NDVI/SMN,522518.71,4518243.12
19N NDVI/SMN,524587.81,4518934.9
CN SMN,519339.52,4517023.17
26E SMN,522066.89,4517616.09
29-30 SMN,526208.38,4516627.6
20SE SMN,526171.85,4518099.03
20NW SMN,525832.19,4518349.3
17S SMN,525753.53,4520162.23
17N SMN,525736.32,4520929.03
5W SMN,526277.47,4523875.51
5E SMN,526646.72,4522897.92
7SE SMN,524932.6,4521413.9
10S SMN,519289.24,4521257.5
15E SMN,520368.99,4520493.63
21N SMN,519052.02,4519454.84
22SW SMN,519499.65,4518914.6
22E SMN,520341.77,4518542.68
18S SMN,524589.85,4519711.72
