plot,plotpasture,pasture,water.yr,wyr.ppt,f.ppt,cs.ppt,gs.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.wyr,lag2.f,lag2.cs,lag2.gs
1,1_15E,15E,2011,271.0855477,10.3706478,49.022,211.6928998,NA,NA,NA,NA,NA,NA,NA,NA
1,1_15E,15E,2012,194.9437884,89.98170761,18.288,86.67408084,271.0855477,10.3706478,49.022,211.6928998,NA,NA,NA,NA
1,1_15E,15E,2013,276.7731643,73.5464659,26.416,176.8106984,194.9437884,89.98170761,18.288,86.67408084,271.0855477,10.3706478,211.6928998,211.6928998
1,1_15E,15E,2014,479.1427199,218.9613982,76.2,183.9813217,276.7731643,73.5464659,26.416,176.8106984,194.9437884,89.98170761,86.67408084,86.67408084
1,1_15E,15E,2015,408.583385,73.86161136,60.198,274.5237737,479.1427199,218.9613982,76.2,183.9813217,276.7731643,73.5464659,176.8106984,176.8106984
1,1_15E,15E,2016,252.7701662,64.72604583,71.374,116.6701204,408.583385,73.86161136,60.198,274.5237737,479.1427199,218.9613982,183.9813217,183.9813217
1,1_15E,15E,2017,275.3103215,38.86185743,55.88,180.5684641,252.7701662,64.72604583,71.374,116.6701204,408.583385,73.86161136,274.5237737,274.5237737
1,1_15E,15E,2018,303.5019514,84.35255673,53.34,165.8093947,275.3103215,38.86185743,55.88,180.5684641,252.7701662,64.72604583,116.6701204,116.6701204
1,1_15E,15E,2019,369.907057,15.92463554,87.466008,266.5164135,303.5019514,84.35255673,53.34,165.8093947,275.3103215,38.86185743,180.5684641,180.5684641
1,1_15E,15E,2020,267.1781501,33.14088942,78.92299835,155.1142623,369.907057,15.92463554,87.466008,266.5164135,303.5019514,84.35255673,165.8093947,165.8093947
1,1_15E,15E,2021,362.4823834,29.5168066,112.5046555,220.4609213,267.1781501,33.14088942,78.92299835,155.1142623,369.907057,15.92463554,266.5164135,266.5164135
1,1_15E,15E,2022,226.49008,40.26042609,64.36661482,121.8630391,362.4823834,29.5168066,112.5046555,220.4609213,267.1781501,33.14088942,155.1142623,155.1142623
1,1_15E,15E,2023,417.5587673,45.71001717,48.514,323.3347501,226.49008,40.26042609,64.36661482,121.8630391,362.4823834,29.5168066,220.4609213,220.4609213
2,2_15E,15E,2011,271.0855477,10.3706478,49.022,211.6928998,NA,NA,NA,NA,NA,NA,NA,NA
2,2_15E,15E,2012,194.9437884,89.98170761,18.288,86.67408084,271.0855477,10.3706478,49.022,211.6928998,NA,NA,NA,NA
2,2_15E,15E,2013,276.7731643,73.5464659,26.416,176.8106984,194.9437884,89.98170761,18.288,86.67408084,271.0855477,10.3706478,211.6928998,211.6928998
2,2_15E,15E,2014,479.1427199,218.9613982,76.2,183.9813217,276.7731643,73.5464659,26.416,176.8106984,194.9437884,89.98170761,86.67408084,86.67408084
2,2_15E,15E,2015,408.583385,73.86161136,60.198,274.5237737,479.1427199,218.9613982,76.2,183.9813217,276.7731643,73.5464659,176.8106984,176.8106984
2,2_15E,15E,2016,252.7701662,64.72604583,71.374,116.6701204,408.583385,73.86161136,60.198,274.5237737,479.1427199,218.9613982,183.9813217,183.9813217
2,2_15E,15E,2017,275.3103215,38.86185743,55.88,180.5684641,252.7701662,64.72604583,71.374,116.6701204,408.583385,73.86161136,274.5237737,274.5237737
2,2_15E,15E,2018,303.5019514,84.35255673,53.34,165.8093947,275.3103215,38.86185743,55.88,180.5684641,252.7701662,64.72604583,116.6701204,116.6701204
2,2_15E,15E,2019,369.907057,15.92463554,87.466008,266.5164135,303.5019514,84.35255673,53.34,165.8093947,275.3103215,38.86185743,180.5684641,180.5684641
2,2_15E,15E,2020,267.1781501,33.14088942,78.92299835,155.1142623,369.907057,15.92463554,87.466008,266.5164135,303.5019514,84.35255673,165.8093947,165.8093947
2,2_15E,15E,2021,362.4823834,29.5168066,112.5046555,220.4609213,267.1781501,33.14088942,78.92299835,155.1142623,369.907057,15.92463554,266.5164135,266.5164135
2,2_15E,15E,2022,226.49008,40.26042609,64.36661482,121.8630391,362.4823834,29.5168066,112.5046555,220.4609213,267.1781501,33.14088942,155.1142623,155.1142623
2,2_15E,15E,2023,417.5587673,45.71001717,48.514,323.3347501,226.49008,40.26042609,64.36661482,121.8630391,362.4823834,29.5168066,220.4609213,220.4609213
3,3_15E,15E,2011,273.3343394,9.406490605,49.022,214.9058487,NA,NA,NA,NA,NA,NA,NA,NA
3,3_15E,15E,2012,198.9727347,91.10605584,18.288,89.57867886,273.3343394,9.406490605,49.022,214.9058487,NA,NA,NA,NA
3,3_15E,15E,2013,270.2147925,74.86909958,26.416,168.9296929,198.9727347,91.10605584,18.288,89.57867886,273.3343394,9.406490605,214.9058487,214.9058487
3,3_15E,15E,2014,478.0395776,209.1762059,76.2,192.6633717,270.2147925,74.86909958,26.416,168.9296929,198.9727347,91.10605584,89.57867886,89.57867886
3,3_15E,15E,2015,410.3918059,73.1675078,60.198,277.026298,478.0395776,209.1762059,76.2,192.6633717,270.2147925,74.86909958,168.9296929,168.9296929
3,3_15E,15E,2016,248.5069944,63.42782374,71.374,113.7051707,410.3918059,73.1675078,60.198,277.026298,478.0395776,209.1762059,192.6633717,192.6633717
3,3_15E,15E,2017,279.4178908,37.49812703,55.88,186.0397637,248.5069944,63.42782374,71.374,113.7051707,410.3918059,73.1675078,277.026298,277.026298
3,3_15E,15E,2018,303.8049889,85.83222923,53.34,164.6327597,279.4178908,37.49812703,55.88,186.0397637,248.5069944,63.42782374,113.7051707,113.7051707
3,3_15E,15E,2019,362.4288999,14.79691776,87.69442521,259.9375569,303.8049889,85.83222923,53.34,164.6327597,279.4178908,37.49812703,186.0397637,186.0397637
3,3_15E,15E,2020,268.3145099,32.75971629,80.07964532,155.4751483,362.4288999,14.79691776,87.69442521,259.9375569,303.8049889,85.83222923,164.6327597,164.6327597
3,3_15E,15E,2021,360.8918639,31.30939805,112.3662956,217.2161702,268.3145099,32.75971629,80.07964532,155.4751483,362.4288999,14.79691776,259.9375569,259.9375569
3,3_15E,15E,2022,233.0432114,39.05268029,64.53498828,129.4555429,360.8918639,31.30939805,112.3662956,217.2161702,268.3145099,32.75971629,155.4751483,155.4751483
3,3_15E,15E,2023,421.4694639,47.46499941,48.514,325.4904645,233.0432114,39.05268029,64.53498828,129.4555429,360.8918639,31.30939805,217.2161702,217.2161702
4,4_15E,15E,2011,273.3343394,9.406490605,49.022,214.9058487,NA,NA,NA,NA,NA,NA,NA,NA
4,4_15E,15E,2012,198.9727347,91.10605584,18.288,89.57867886,273.3343394,9.406490605,49.022,214.9058487,NA,NA,NA,NA
4,4_15E,15E,2013,270.2147925,74.86909958,26.416,168.9296929,198.9727347,91.10605584,18.288,89.57867886,273.3343394,9.406490605,214.9058487,214.9058487
4,4_15E,15E,2014,478.0395776,209.1762059,76.2,192.6633717,270.2147925,74.86909958,26.416,168.9296929,198.9727347,91.10605584,89.57867886,89.57867886
4,4_15E,15E,2015,410.3918059,73.1675078,60.198,277.026298,478.0395776,209.1762059,76.2,192.6633717,270.2147925,74.86909958,168.9296929,168.9296929
4,4_15E,15E,2016,248.5069944,63.42782374,71.374,113.7051707,410.3918059,73.1675078,60.198,277.026298,478.0395776,209.1762059,192.6633717,192.6633717
4,4_15E,15E,2017,279.4178908,37.49812703,55.88,186.0397637,248.5069944,63.42782374,71.374,113.7051707,410.3918059,73.1675078,277.026298,277.026298
4,4_15E,15E,2018,303.8049889,85.83222923,53.34,164.6327597,279.4178908,37.49812703,55.88,186.0397637,248.5069944,63.42782374,113.7051707,113.7051707
4,4_15E,15E,2019,362.4288999,14.79691776,87.69442521,259.9375569,303.8049889,85.83222923,53.34,164.6327597,279.4178908,37.49812703,186.0397637,186.0397637
4,4_15E,15E,2020,268.3145099,32.75971629,80.07964532,155.4751483,362.4288999,14.79691776,87.69442521,259.9375569,303.8049889,85.83222923,164.6327597,164.6327597
4,4_15E,15E,2021,360.8918639,31.30939805,112.3662956,217.2161702,268.3145099,32.75971629,80.07964532,155.4751483,362.4288999,14.79691776,259.9375569,259.9375569
4,4_15E,15E,2022,233.0432114,39.05268029,64.53498828,129.4555429,360.8918639,31.30939805,112.3662956,217.2161702,268.3145099,32.75971629,155.4751483,155.4751483
4,4_15E,15E,2023,421.4694639,47.46499941,48.514,325.4904645,233.0432114,39.05268029,64.53498828,129.4555429,360.8918639,31.30939805,217.2161702,217.2161702
1,1_17N,17N,2011,275.7652397,6.473074309,49.022,220.2701654,NA,NA,NA,NA,NA,NA,NA,NA
1,1_17N,17N,2012,191.0665188,80.87923595,18.288,91.8992828,275.7652397,6.473074309,49.022,220.2701654,NA,NA,NA,NA
1,1_17N,17N,2013,268.7042626,69.97968387,26.416,172.3085787,191.0665188,80.87923595,18.288,91.8992828,275.7652397,6.473074309,220.2701654,220.2701654
1,1_17N,17N,2014,432.796756,180.7588151,76.2,175.8379408,268.7042626,69.97968387,26.416,172.3085787,191.0665188,80.87923595,91.8992828,91.8992828
1,1_17N,17N,2015,373.9747166,65.96599293,60.198,247.8107237,432.796756,180.7588151,76.2,175.8379408,268.7042626,69.97968387,172.3085787,172.3085787
1,1_17N,17N,2016,239.5008369,60.85436736,71.374,107.2724696,373.9747166,65.96599293,60.198,247.8107237,432.796756,180.7588151,175.8379408,175.8379408
1,1_17N,17N,2017,309.3884386,66.83313478,55.88,186.6753038,239.5008369,60.85436736,71.374,107.2724696,373.9747166,65.96599293,247.8107237,247.8107237
1,1_17N,17N,2018,314.9198953,79.10871446,53.34,182.4711809,309.3884386,66.83313478,55.88,186.6753038,239.5008369,60.85436736,107.2724696,107.2724696
1,1_17N,17N,2019,356.9375105,19.17422643,74.71950784,263.0437762,314.9198953,79.10871446,53.34,182.4711809,309.3884386,66.83313478,186.6753038,186.6753038
