Pasture,UTM-E,UTM-N,2013 Precip (Inches)
6W,524888,4523557,6.4
11,521536,4521454,5.18
22,520431,4518376,3.8
24,522895,4519048,4.76
31,525454,4515432,4.06
32,525898,4515378,3.94
10S,519637,4521606,4.84
13E 1,523867,4520252,4.87
13E 2,523608,4520077,5.08
13W,522949,4520111,4.92
15E,520412,4520755,5.35
15W,519549,4520804,4.51
17N,525825,4520818,5.6
17S,526026,4519998,5.71
18SE,525635,4519547,5.04
19NE,525123,4518937,4.89
19NW,524458,4519055,4.41
1E,523440,4523204,5.98
1W,522603,4523281,6.35
21N,518353,4519125,4.08
23E,522174,4518912,4.35
23W,521177,4518811,4.37
25C,523218,4517132,3.96
30NE,525645,4517673,4.73
5E,526914,4524030,6.28
5W,525927,4524023,6.39
7E,525188,4521914,5.84
7W,524529,4521806,6.08
8N,526591,4522241,5.71
HQ,523994,4521203,5.72
