"UTM.E","UTM.N"
521085.75,4517623.41
522066.89,4517616.09
523513.95,4517694.07
523716,4517347.87
524174.14,4515865.47
525328.32,4515174.24
524316.34,4521659.72
526497.07,4521464.67
522518.71,4518243.12
524587.81,4518934.9
519339.52,4517023.17
522066.89,4517616.09
526208.38,4516627.6
526171.85,4518099.03
525832.19,4518349.3
525753.53,4520162.23
525736.32,4520929.03
526277.47,4523875.51
526646.72,4522897.92
524932.6,4521413.9
519289.24,4521257.5
520368.99,4520493.63
519052.02,4519454.84
519499.65,4518914.6
520341.77,4518542.68
524589.85,4519711.72
