"pasture","plot","plotpasture","ecosite","x","y"
"15E",1,"1_15E","Loamy",520234,4520700
"15E",2,"2_15E","Loamy",520428,4520540
"15E",3,"3_15E","Loamy",520258,4520250
"15E",4,"4_15E","Loamy",520358,4520020
"17N",1,"1_17N","Loamy",525796,4520980
"17N",2,"2_17N","Loamy",525804,4520580
"17N",3,"3_17N","Salt Flats",526165,4520580
"17N",4,"4_17N","Salt Flats",526209,4520890
"17N",5,"5_17N","Sandy",526500,4520670
"17N",6,"6_17N","Sandy",526951,4520590
"17S",1,"1_17S","Loamy",525807,4519970
"17S",2,"2_17S","Loamy",525814,4520220
"17S",3,"3_17S","Salt Flats",526260,4519920
"17S",4,"4_17S","Salt Flats",526341,4520200
"17S",5,"5_17S","Sandy",526544,4520040
"17S",6,"6_17S","Sandy",526947,4520140
"18S",1,"1_18S","Sandy",524290,4519770
"18S",2,"2_18S","Sandy",524267,4520060
"18S",3,"3_18S","Sandy",524564,4520040
"18S",4,"4_18S","Sandy",524652,4519770
"19N",1,"1_19N","Sandy",524215,4519380
"19N",2,"2_19N","Sandy",524279,4519140
"19N",3,"3_19N","Sandy",524632,4519370
"19N",4,"4_19N","Sandy",524671,4518980
"20NW",1,"1_20NW","Sandy",525786,4518290
"20NW",2,"2_20NW","Sandy",526107,4518590
"20NW",3,"3_20NW","Sandy",525793,4519020
"20NW",4,"4_20NW","Sandy",525786,4519290
"20NW",5,"5_20NW","Salt Flats",526671,4519170
"20NW",6,"6_20NW","Salt Flats",526563,4519400
"20SE",1,"1_20SE","Sandy",526233,4518150
"20SE",2,"2_20SE","Sandy",526512,4518240
"20SE",3,"3_20SE","Sandy",526307,4518420
"20SE",4,"4_20SE","Salt Flats",526928,4518640
"20SE",5,"5_20SE","Salt Flats",526878,4518880
"20SE",6,"6_20SE","Sandy",527078,4519150
"21N",1,"1_21N","Loamy",519005,4518910
"21N",2,"2_21N","Loamy",519008,4519400
"21N",3,"3_21N","Loamy",517934,4518920
"21N",4,"4_21N","Loamy",517801,4519150
"24W",1,"1_24W","Loamy",522810,4518150
"24W",2,"2_24W","Loamy",522601,4518310
"24W",3,"3_24W","Loamy",522806,4518740
"24W",4,"4_24W","Loamy",522600,4518900
"25NW",1,"1_25NW","Loamy",523597,4517750
"25NW",2,"2_25NW","Loamy",523416,4517560
"25NW",3,"3_25NW","Loamy",523224,4517390
"25NW",4,"4_25NW","Loamy",523048,4517570
"25SE",1,"1_25SE","Loamy",523798,4517400
"25SE",2,"2_25SE","Loamy",523617,4517220
"25SE",3,"3_25SE","Loamy",523427,4517050
"25SE",4,"4_25SE","Loamy",523245,4516870
"26E",1,"1_26E","Loamy",522142,4517670
"26E",2,"2_26E","Loamy",521889,4517670
"26E",3,"3_26E","Loamy",521902,4517420
"26E",4,"4_26E","Loamy",521910,4517170
"26W",1,"1_26W","Loamy",521167,4517680
"26W",2,"2_26W","Loamy",521424,4517680
"26W",3,"3_26W","Loamy",521428,4517420
"26W",4,"4_26W","Loamy",521428,4517170
"31E",1,"1_31E","Loamy",525317,4516190
"31E",2,"2_31E","Loamy",525619,4515800
"31E",3,"3_31E","Loamy",525334,4515620
"31E",4,"4_31E","Sandy",525305,4515130
"31W",1,"1_31W","Loamy",524259,4515910
"31W",2,"2_31W","Loamy",524511,4516040
"31W",3,"3_31W","Loamy",524814,4516110
"31W",4,"4_31W","Sandy",524511,4515080
"5E",1,"1_5E","Loamy",526706,4522950
"5E",2,"2_5E","Sandy",527039,4522960
"5E",3,"3_5E","Loamy",527062,4523380
"5E",4,"4_5E","Sandy",526591,4523490
"7NW",1,"1_7NW","Loamy",524222,4521540
"7NW",2,"2_7NW","Loamy",524399,4521720
"7NW",3,"3_7NW","Sandy",524209,4521880
"7NW",4,"4_7NW","Loamy",524306,4522120
"7NW",5,"5_7NW","Salt Flats",525076,4522460
"7NW",6,"6_7NW","Salt Flats",525264,4522630
"7SE",1,"1_7SE","Loamy",524516,4521340
"7SE",2,"2_7SE","Loamy",524768,4521590
"7SE",3,"3_7SE","Loamy",524768,4521340
"7SE",4,"4_7SE","Sandy",524992,4521470
"7SE",5,"5_7SE","Salt Flats",525205,4522150
"7SE",6,"6_7SE","Salt Flats",525379,4522330
"8E",1,"1_8E","Loamy",526582,4521520
"8E",2,"2_8E","Sandy",526832,4521700
"8E",3,"3_8E","Loamy",526576,4521880
"8E",4,"4_8E","Sandy",526644,4522430
"NH",1,"1_NH","Loamy",519608,4521310
"NH",2,"2_NH","Loamy",519597,4521060
"NH",3,"3_NH","Loamy",519343,4521060
"NH",4,"4_NH","Loamy",519351,4521310
"18S",5,"5_18S","Sandy",525406,4520150
"18S",6,"6_18S","Sandy",525458,4519770
"19N",5,"5_19N","Sandy",525407,4519360
"19N",6,"6_19N","Sandy",525412,4518980
