pairblock,pair,block,water.yr,ecosite,plot,x,y,wspg,c3pg,forb,total.mass,wyr.ppt,f.ppt,cs.ppt,gs.ppt,sp.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.f,lag2.cs,lag2.gs,lag.mass,total.mass.dm,wspg.dm,c3pg.dm,forb.dm
1_1,1,1,2013,Loamy,1,519921,4521005,464.8883333,188.5704167,72.4775,812.8558333,269.1943096,71.77155439,26.416,171.0067552,123.4886072,194.5758484,89.06914,18.288,87.21870837,10.89908108,213.4488261,213.4488261,NA,-185.9620833,51.35768939,13.5107197,-124.3305682
1_1,1,1,2014,Loamy,1,519921,4521005,462.04125,118.5375,444.01125,1691.6175,483.2159206,215.8998164,76.2,191.1161042,145.1044168,269.1943096,71.77155439,26.416,171.0067552,89.06914,87.21870837,87.21870837,812.8558333,692.7995833,48.51060606,-56.52219697,247.2031818
1_1,1,1,2015,Loamy,1,519921,4521005,613.00625,81.60375,592.55375,1412.36125,408.5682595,68.77528336,60.198,279.5949762,250.0411937,483.2159206,215.8998164,76.2,191.1161042,71.77155439,171.0067552,171.0067552,1691.6175,413.5433333,199.4756061,-93.45594697,395.7456818
1_1,1,1,2016,Loamy,1,519921,4521005,345.925,78.10625,74.13625,1025.59875,254.0943061,65.13361475,71.374,117.5866913,113.6155971,408.5682595,68.77528336,60.198,279.5949762,215.8998164,191.1161042,191.1161042,1412.36125,26.78083333,-67.60564394,-96.95344697,-122.6718182
1_1,1,1,2017,Loamy,1,519921,4521005,374.91875,67.88,99.095,658.4075,264.4816944,38.18225012,55.88,170.4194442,152.8077967,254.0943061,65.13361475,71.374,117.5866913,68.77528336,279.5949762,279.5949762,1025.59875,-340.4104167,-38.61189394,-107.179697,-97.71306818
1_1,1,1,2018,Loamy,1,519921,4521005,261.0925,267.95375,40.2975,735.7125,300.5689018,81.99948074,53.34,165.2294211,161.3609448,264.4816944,38.18225012,55.88,170.4194442,65.13361475,117.5866913,117.5866913,658.4075,-263.1054167,-152.4381439,92.89405303,-156.5105682
1_1,1,1,2019,Loamy,1,519921,4521005,502.54625,306.55625,403.30375,1357.06,362.0280507,15.27239133,86.39123561,260.3644237,296.2613047,300.5689018,81.99948074,53.34,165.2294211,38.18225012,170.4194442,170.4194442,735.7125,358.2420833,89.01560606,131.496553,206.4956818
1_1,1,1,2020,Loamy,1,519921,4521005,257.47125,211.27375,14.5175,484.05,266.6949862,33.25180276,77.94364746,155.499536,176.8591546,362.0280507,15.27239133,86.39123561,260.3644237,81.99948074,165.2294211,165.2294211,1357.06,-514.7679167,-156.0593939,36.21405303,-182.2905682
1_1,1,1,2021,Loamy,1,519921,4521005,211.86125,289.785,273.24875,1259.14625,360.2626014,29.64857176,112.1655944,218.4484353,241.1730079,266.6949862,33.25180276,77.94364746,155.499536,15.27239133,260.3644237,260.3644237,484.05,260.3283333,-201.6693939,114.725303,76.44068182
1_1,1,1,2022,Loamy,1,519921,4521005,59.8075,33.51,15.74875,123.685,228.1413607,38.71112989,65.07751588,124.3527149,91.434407,360.2626014,29.64857176,112.1655944,218.4484353,33.25180276,155.499536,155.499536,1259.14625,-875.1329167,-353.7231439,-141.549697,-181.0593182
1_1,1,1,2023,Loamy,1,519921,4521005,995.27875,281.88,135.49875,1426.5025,404.6222919,46.45298693,48.514,309.655305,226.4553961,228.1413607,38.71112989,65.07751588,124.3527149,29.64857176,218.4484353,218.4484353,123.685,427.6845833,581.7481061,106.820303,-61.30931818
1_10,1,10,2013,Sandy,1,526009.5,4518220,200.11875,871.87625,3.207083333,1075.202083,263.3575812,75.32259978,26.416,161.6189814,115.7071391,203.6830125,76.65623937,18.288,108.7387731,6.199941721,234.1170089,234.1170089,NA,-289.4498106,-49.22159091,51.61113636,-290.7366288
1_10,1,10,2014,Sandy,1,526009.5,4518220,305.2225,1484.07375,62.63125,1855.4925,461.6883624,179.1973933,76.2,206.2909691,141.7272283,263.3575812,75.32259978,26.416,161.6189814,76.65623937,108.7387731,108.7387731,1075.202083,490.8406061,55.88215909,663.8086364,-231.3124621
1_10,1,10,2015,Sandy,1,526009.5,4518220,255.77625,1084.46375,166.505,1507.08125,365.3355483,69.65912707,60.198,235.4784212,212.9009509,461.6883624,179.1973933,76.2,206.2909691,75.32259978,161.6189814,161.6189814,1855.4925,142.4293561,6.435909091,264.1986364,-127.4387121
1_10,1,10,2016,Sandy,1,526009.5,4518220,140.7375,1033.87375,67.20625,1241.8175,226.4616299,55.90193669,71.374,99.18569321,101.3951621,365.3355483,69.65912707,60.198,235.4784212,179.1973933,206.2909691,206.2909691,1507.08125,-122.8343939,-108.6028409,213.6086364,-226.7374621
1_10,1,10,2017,Sandy,1,526009.5,4518220,137.17375,731.475,197.2475,1065.89625,290.2393781,52.32679792,55.88,182.0325802,149.9629031,226.4616299,55.90193669,71.374,99.18569321,69.65912707,235.4784212,235.4784212,1241.8175,-298.7556439,-112.1665909,-88.79011364,-96.69621212
1_10,1,10,2018,Sandy,1,526009.5,4518220,145.37875,930.405,9.12125,1089.91125,280.3717543,76.90197522,53.34,150.1297791,148.4676588,290.2393781,52.32679792,55.88,182.0325802,55.90193669,99.18569321,99.18569321,1065.89625,-274.7406439,-103.9615909,110.1398864,-284.8224621
1_10,1,10,2019,Sandy,1,526009.5,4518220,189.39125,548.97625,776.495,1518.085,335.403605,18.90398541,89.50717282,226.9924468,281.2904321,280.3717543,76.90197522,53.34,150.1297791,52.32679792,182.0325802,182.0325802,1089.91125,153.4331061,-59.94909091,-271.2888636,482.5512879
1_10,1,10,2020,Sandy,1,526009.5,4518220,42.5975,418.03,2.7725,463.4,259.2032982,33.60951382,85.31974314,140.2740412,178.6944467,335.403605,18.90398541,89.50717282,226.9924468,76.90197522,150.1297791,150.1297791,1518.085,-901.2518939,-206.7428409,-402.2351136,-291.1712121
