"Pasture","UTM.E","UTM.N"
"6W",524888,4523557
"11",521536,4521454
"22",520431,4518376
"24",522895,4519048
"31",525454,4515432
"32",525898,4515378
"10S",519637,4521606
"13E 1",523867,4520252
"13E 2",523608,4520077
"13W",522949,4520111
"15E",520412,4520755
"15W",519549,4520804
"17N",525825,4520818
"17S",526026,4519998
"18SE",525635,4519547
"19NE",525123,4518937
"19NW",524458,4519055
"1E",523440,4523204
"1W",522603,4523281
"21N",518353,4519125
"23E",522174,4518912
"23W",521177,4518811
"25C",523218,4517132
"30NE",525645,4517673
"5E",526914,4524030
"5W",525927,4524023
"7E",525188,4521914
"7W",524529,4521806
"8N",526591,4522241
"HQ",523994,4521203
